"","4","13","10H","11H","13H","25H","26H","28_27H","9H"
"ENSG00000150455.14",9.4203051781913,9.78859460300771,9.6330901690857,9.82253398299838,9.84308307974458,9.8745810200146,9.50232652769938,9.75613849430102,9.40717258993758
"ENSG00000150456.11",7.17824795644642,6.72927519835878,6.59543899337472,6.54857482110015,6.57106433604815,6.62376995939183,6.76263740440892,6.30395828699215,6.60132935568465
"ENSG00000150457.9",10.3484742016396,10.603359650894,10.2671322342803,10.4802017811354,10.5759299930996,10.7493541724031,10.1197937913887,10.4755150874309,9.55015732188461
"ENSG00000150459.12",10.7108930295222,10.6352184171907,10.5014580815739,10.1861360738796,10.7243374320649,10.5610931439991,10.3278552680375,10.4065315660509,10.5045881375829
"ENSG00000150477.15",9.33448002832861,9.19772681831596,9.2770083153387,9.14307810399859,9.05104080775243,8.58607219398871,9.14167936983896,9.1407126039576,8.99886230206201
"ENSG00000150527.18",10.5745048215941,10.5684243367782,10.1490364801708,10.4039981899006,10.679581609986,10.7693827573881,10.1728408801456,10.8180793051916,10.2785875919348
"ENSG00000150540.14",7.2612593470063,8.67728618897594,8.36580362782037,8.13222066396304,8.6241705906289,9.12158726669841,8.30731227420562,8.00051953318223,8.57841123547786
"ENSG00000150551.11",5.64162089613393,5.90373731230719,5.64162089613393,6.14405759956176,6.04720560272895,7.19531858151224,5.64162089613393,6.00661815643924,5.64162089613393
"ENSG00000150593.18",11.8309319521038,12.0561297410638,11.6082118484886,11.7369025118436,12.1159199039965,11.5025061513161,11.5941892963887,11.4875188805787,11.6547041206845
"ENSG00000150594.7",7.28765991327567,6.19501984625371,6.59543899337472,7.04355690209016,6.57106433604815,7.81930460846333,6.9165663765413,7.6090578652871,6.09228183742102
"ENSG00000150625.17",5.64162089613393,6.1637213250856,6.53014619656776,5.64162089613393,6.29223502911614,5.64162089613393,6.998783138057,6.85552424521866,6.88283486091104
"ENSG00000150627.16",7.02466536857127,7.43480446055173,7.59964159802501,6.61192406324791,6.76404600435579,7.36909885297263,7.94965709716318,6.57043126794064,6.63376480983856
"ENSG00000150630.4",6.20158652381962,5.96242699565481,6.05436900036612,6.40408548722733,6.26711076208236,6.49616023150759,6.5781488119805,5.64162089613393,5.64162089613393
"ENSG00000150636.17",7.63677787892623,6.63825432876424,6.83260627800344,6.94835457144574,6.8891840407516,7.43645154034157,7.36588349034148,6.78768160312261,7.50004591864887
"ENSG00000150637.9",11.869133561161,10.8846430984713,11.3196928985151,11.2833177145001,11.3422141871766,11.85370034075,11.6574908039629,11.5445028681097,11.7822431147674
"ENSG00000150667.8",5.96626501695558,6.44038807042066,6.45896066008565,6.37694562825045,6.80330999950228,6.13975528823618,5.99269421429284,7.14031489943817,6.39470498287577
"ENSG00000150672.18",6.76336353984731,6.68492493929727,6.63627763046158,6.94835457144574,6.77731513702628,6.46796359168467,6.76263740440892,6.69542769018759,6.73866967693963
"ENSG00000150681.10",10.648316031989,11.2828603332443,10.3016911942249,10.7389693912084,11.4846307604278,11.9151798966619,10.3477558272121,10.4336285512261,10.3272698479391
"ENSG00000150687.12",8.05325393760649,8.0532371919377,8.72480450663239,8.12679667892882,8.75912532143274,8.30176544179775,9.60356041492204,9.49537119454207,10.4591184676309
"ENSG00000150712.11",10.1153454562224,10.4959024792996,10.15947360794,10.5476626508278,10.3448959094595,10.5344140693571,10.4718111643872,10.467890193047,10.1780246679294
"ENSG00000150753.12",11.2432801140953,11.4710375269466,11.2055267192414,11.210060496466,11.4502212407722,11.3353095074957,11.2301606494725,11.1093909891259,11.3705518634416
"ENSG00000150756.14",9.08225965208726,8.81511730245456,8.57081125147837,8.37458291502969,8.81689347989028,8.3996706381805,8.2839901866648,8.55843951215258,8.92471033355916
"ENSG00000150760.13",6.93884474661659,7.15678257989551,7.47029527138755,6.45541712820661,6.92384163386129,7.02190755821439,6.82713950261286,7.07589353775244,6.34994324537509
"ENSG00000150764.14",6.78449416207842,7.357227124697,7.57482015814022,7.13104173108182,7.13896372416714,7.06788252648332,7.71986772175828,6.67580410843267,7.19672824147873
