GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
ADGRD2	1	1	1	1	1	1	1	1	1	1
ADGRE1	1	1	1	1	1	1	1	1	1	1
ADGRE2	1	1	1	1	1	1	1	1	1	0.978741047177812
ADGRE3	1	1	1	1	1	1	1	1	1	0.974053897479779
ADGRE4P	1	1	1	1	1	1	1	1	1	1
ADGRE5	1	1	1	1	1	1	1	1	1	0.97378699896544
ADGRF1	1	1	1	1	1	1	1	1	1	1
ADGRF2	1	1	1	1	1	1	1	1	1	1
ADGRF3	1	1	1	1	1	1	1	1	1	1
ADGRF4	1	1	1	1	1	1	1	1	1	1
ADGRF5	1	1	1	1	1	1	1	1	1	1
ADGRF5P1	1	1	1	1	1	1	1	1	1	1
ADGRF5P2	1	1	1	1	1	1	1	1	1	1
ADGRG1	1	1	1	1	1	1	1	1	1	1
ADGRG2	1	1	1	1	1	1	1	1	1	1
ADGRG3	1	1	1	1	1	1	1	1	1	0.974182974972793
ADGRG5	1	1	1	1	1	1	1	1	1	1
ADGRG6	1	1	1	1	1	1	1	1	1	1
ADGRG7	1	1	1	1	1	1	1	1	1	1
ADGRL1	1	1	1	1	1	1	1	1	1	1
ADGRL1.AS1	1	1	1	1	1	1	1	1	1	0.97378699896544
ADGRL2	1	1	1	1	1	1	1	1	1	1
ADGRL3	1	1	1	1	1	1	1	1	1	1
ADGRL4	1	1	1	1	1	1	1	1	1	1
ADGRV1	1	1	1	1	1	1	1	1	1	1
ADH1B	1	1	1	1	1	1	1	1	1	1
ADH4	1	1	1	1	1	1	1	1	1	1
ADH5	1	1	1	1	1	1	1	1	1	1
ADH5P2	1	1	1	1	1	1	1	1	1	1
ADH5P4	1	1	1	1	1	1	1	1	1	1
ADH5P5	1	1	1	1	1	1	1	1	1	1
ADH6	1	1	1	1	1	1	1	1	1	1
ADHFE1	1	1	1	1	1	1	1	1	1	1
ADI1	1	1	1	1	1	1	1	1	1	0.97378699896544
ADI1P3	1	1	1	1	1	1	1	1	1	1
ADIG	1	1	1	1	1	1	1	1	1	1
ADIPOQ	1	1	1	1	1	1	1	1	1	1
ADIPOQ.AS1	1	1	1	1	1	1	1	1	1	1
ADIPOR1	1	1	1	1	1	1	1	1	1	1
ADIPOR1P2	1	1	1	1	1	1	1	1	1	1
ADIPOR2	1	1	1	1	1	1	1	1	1	0.974182974972793
ADIRF	1	1	1	1	1	1	1	1	1	1
ADIRF.AS1	1	1	1	1	1	1	1	1	1	1
ADK	1	1	1	1	1	1	1	1	1	1
ADM	1	1	1	1	1	1	1	1	1	1
ADM.DT	1	1	1	1	1	1	1	1	1	1
ADM2	1	1	1	1	1	1	1	1	1	1
ADM5	1	1	1	1	1	1	1	1	1	1
ADNP	1	1	1	1	1	1	1	1	1	0.97378699896544
ADNP.AS1	1	1	1	1	1	1	1	1	1	1
ADNP2	1	1	1	1	1	1	1	1	1	1
ADO	1	1	1	1	1	1	1	1	1	1
ADORA1	1	1	1	1	1	1	1	1	1	1
ADORA2A	1	1	1	1	1	1	1	1	1	0.97378699896544
ADORA2A.AS1	1	1	1	1	1	1	1	1	1	1
ADORA2B	1	1	1	1	1	1	1	1	1	1
ADORA2BP1	1	1	1	1	1	1	1	1	1	1
ADORA3	1	1	1	1	1	1	1	1	1	1
ADPGK	1	1	1	1	1	1	1	1	1	0.97378699896544
ADPGK.AS1	1	1	1	1	1	1	1	1	1	1
ADPRH	1	1	1	1	1	1	1	1	1	1
ADPRHL1	1	1	1	1	1	1	1	1	1	1
ADPRM	1	1	1	1	1	1	1	1	1	1
ADPRS	1	1	1	1	1	1	1	1	1	0.978816025873106
ADRA1A	1	1	1	1	1	1	1	1	1	1
ADRA1B	1	1	1	1	1	1	1	1	1	1
ADRA2A	1	1	1	1	1	1	1	1	1	0.974807518700084
ADRA2B	1	1	1	1	1	1	1	1	1	1
ADRB1	1	1	1	1	1	1	1	1	1	1
ADRB2	1	1	1	1	1	1	1	1	1	1
ADRM1	1	1	1	1	1	1	1	1	1	0.999410899674075
ADSL	1	1	1	1	1	1	1	1	1	1
ADSS1	1	1	1	1	1	1	1	1	1	1
ADSS2	1	1	1	1	1	1	1	1	1	0.97378699896544
ADTRP	1	1	1	1	1	1	1	1	1	1
AEBP1	1	1	1	1	1	1	1	1	1	1
AEBP2	1	1	1	1	1	1	1	1	1	1
AEN	1	1	1	1	1	1	1	1	1	1
AFAP1	1	1	1	1	1	1	1	1	1	1
AFAP1.AS1	1	1	1	1	1	1	1	1	1	1
AFAP1L1	1	1	1	1	1	1	1	1	1	1
AFAP1L2	1	1	1	1	1	1	1	1	1	1
AFDN	1	1	1	1	1	1	1	1	1	1
AFDN.DT	1	1	1	1	1	1	1	1	1	1
AFF1	1	1	1	1	1	1	1	1	1	1
AFF2	1	1	1	1	1	1	1	1	1	0.981124826158931
AFF2.IT1	1	1	1	1	1	1	1	1	1	1
AFF3	1	1	1	1	1	1	1	1	1	1
AFF4	1	1	1	1	1	1	1	1	1	0.97378699896544
AFF4.DT	1	1	1	1	1	1	1	1	1	1
AFG1L	1	1	1	1	1	1	1	1	1	1
AFG3L1P	1	1	1	1	1	1	1	1	1	0.97378699896544
AFG3L2	1	1	1	1	1	1	1	1	1	1
AFG3L2P1	1	1	1	1	1	1	1	1	1	1
AFMID	1	1	1	1	1	1	1	1	1	1
AFTPH	1	1	1	1	1	1	1	1	1	1
AFTPH.DT	1	1	1	1	1	1	1	1	1	1
AGA	1	1	1	1	1	1	1	1	1	1
AGA.DT	1	1	1	1	1	1	1	1	1	1
AGAP1	1	1	1	1	1	1	1	1	1	1
AGAP1.IT1	1	1	1	1	1	1	1	1	1	1
AGAP10P	1	1	1	1	1	1	1	1	1	1
AGAP12P	1	1	1	1	1	1	1	1	1	1
AGAP13P	1	1	1	1	1	1	1	1	1	1
AGAP14P	1	1	1	1	1	1	1	1	1	1
AGAP2	1	1	1	1	1	1	1	1	1	0.97378699896544
AGAP2.AS1	1	1	1	1	1	1	1	1	1	1
AGAP3	1	1	1	1	1	1	1	1	1	1
AGAP4	1	1	1	1	1	1	1	1	1	0.978816025873106
AGAP5	1	1	1	1	1	1	1	1	1	1
AGAP6	1	1	1	1	1	1	1	1	1	1
AGAP7P	1	1	1	1	1	1	1	1	1	0.97378699896544
