"","10","10H","11","11H","13","13H","14","18","20","22","24","25","25H","26","26H","28","28_27H","4","5","6","7","9","9H"
"ENSG00000004142.12",10.0722423981422,10.2047390469925,10.1560491455477,10.3544682703194,10.2871325982649,10.4763694901082,10.3668802554633,10.0593806888808,10.2178352550954,10.3076457597736,10.7475382345429,10.2854168174242,10.5523330228652,10.1972843559049,10.2329621641681,10.3009416238807,10.215025611106,9.51802564615235,9.91668282254613,10.1643472030793,10.3353296831281,10.290403385179,9.9758423873323
"ENSG00000004399.13",11.2946480133688,11.8222014023384,11.2449462756669,11.3023107610463,12.3298953458977,11.7668696171827,11.8405894273316,12.0514318710336,11.4978481655698,11.4460485011244,11.7318036996777,11.6772970931336,12.7030154796918,11.6168195703344,11.7871607610829,11.3384033896778,11.6899912873697,11.4307987121363,11.1661815463532,11.5595631401313,11.5177610309745,11.6686206252718,11.4698851399621
"ENSG00000004455.18",12.0012809418721,12.048723500333,11.9593124485957,12.1447361125314,11.7396281338484,11.9153203303628,11.7877763679532,11.652279200426,11.8060197177304,11.6519167650817,11.8077659712178,11.9102593112645,11.9532554977927,11.8208442636764,11.9985441612402,11.7483310640722,12.2336713584722,11.6662921768714,11.6026945619432,11.593686895582,11.636613890196,12.0132335189347,12.2119663998046
"ENSG00000004468.13",9.69165351582186,10.2596385262971,9.58264006640344,9.59775429137644,9.90961068297665,10.0812001319206,9.61747270472621,10.3299504445604,10.3328872360105,10.3031378741414,9.52543497433802,10.0450168730593,8.90441713511135,10.1165437493291,11.1770063809599,10.1716823734433,9.45043812562568,10.3797362397208,9.92729347667408,10.0782163644576,9.72976085174123,10.0963332288381,9.10177993242574
"ENSG00000004478.8",10.1840792608253,9.93655735457211,9.91805748508037,10.0217047903701,10.2081504105941,9.87821796678328,9.86728001295517,10.1323550079535,9.82849946130085,9.9131054613414,9.97051603158762,10.0084046138284,10.261749143474,9.96748567134276,10.2019264000409,9.74704603247871,10.2083176648363,9.8952644921018,9.55529203551481,10.2785005998491,9.39605895330057,10.5388898740028,10.52276517071
"ENSG00000004487.18",10.8475884831371,10.9105962836977,10.818110423784,10.8494676094112,10.4830454732903,10.6029181245523,10.5183893292952,10.7701864228345,10.7011148513894,10.6715918251131,10.4308781917183,10.9684129524072,10.2443172062949,10.7782338024526,10.85060127782,10.4980300483361,10.5816951490592,11.0502483498705,10.6639308028645,10.8950362168165,10.5499344212454,10.8036408253149,10.9250888336982
"ENSG00000004534.15",12.0055101128091,12.1735069288445,11.6428781968268,11.6440429040149,11.6437204858336,11.6450163447747,11.8946297757838,11.9043595605204,11.9546173886992,12.0635421669264,11.8820956504397,11.914028438778,11.3094285787578,11.9969694662984,11.9887701435918,11.9707899635079,11.6686729282957,11.9933840034205,11.9782169876493,11.8071579382058,11.5506586108174,12.2900773680607,12.0191700474833
"ENSG00000004660.15",10.0412198913664,10.1942899892217,10.3544883813532,10.2760763145538,9.73549246021578,9.87445413739455,9.23199290952015,9.19503724110914,9.43217256808655,9.94047679579634,10.0141848070472,10.1318556703791,10.8216862356784,9.32018875993124,9.43837796403123,9.78933895434732,9.77175062319431,9.42460953096973,9.9255304664056,9.6889081045506,10.3248250301164,9.68559068271997,9.2637223681503
"ENSG00000004700.16",9.87889282038091,10.0797328613054,9.99793818795963,10.0619278924426,9.86933793865487,10.0448419362642,9.91282744319325,10.055894721112,10.1328808442153,9.91113026963773,10.0488523283443,10.1106325795765,9.97333026272913,10.402097384437,10.5852554394316,9.82437693494081,10.5681437768939,9.86920518355715,10.1935271200911,10.0890758711661,9.79895118243385,10.317816248611,10.9988816610687
"ENSG00000004766.17",9.17206850058361,9.1089101630711,9.21400330288846,9.68138421720568,9.32272479948691,9.62988984155469,9.18026942211282,9.82342193524231,9.38619875571998,9.49702377190032,10.1273314757689,8.99333522428966,8.90068692470827,9.32255857281841,9.54534697166194,9.30068322163193,9.2474904863646,9.4627103575711,9.90599323177192,9.50622641254116,9.32263012349881,9.06412471736733,9.706498759492
"ENSG00000004777.19",8.77289253300489,8.2520422738959,8.21000050289542,8.32081169211819,8.01363904060605,8.1749634780417,8.03901171943992,7.67803480313131,8.16051452585166,8.12981186353789,7.18898310703423,7.68614660225366,8.88188734979891,7.71113282143595,7.83190539684533,7.80192087970272,9.04152319242928,8.77592827136262,8.31361149978067,8.46766696062847,7.44024531594323,8.42727413608143,7.8581307732842
"ENSG00000004779.10",7.95909030693924,8.0114224645666,7.24938209432418,7.70523506958892,8.10363342536819,7.97825583990949,8.25809037036323,8.0118322719322,8.02589462657444,7.92808423786541,7.85072511289081,8.0893486186851,8.1164531993104,7.55132751656708,7.6902077932508,8.023287095758,7.83446621559345,7.51096370109567,7.8788639332743,7.90473069322231,7.77893179635765,7.63787339749966,8.06427017355009
"ENSG00000004799.8",9.29106560360413,10.1244560285467,9.60979127919802,9.59579575867216,8.74562663293268,10.6328912543542,9.26599610480072,10.2695617723672,9.6338960606813,9.52833338028519,10.2126365633209,10.2183342867465,10.7192746357182,9.04939183557713,10.4597467554622,8.18647269205356,9.7898555534421,9.13855272802595,9.90778036203682,9.83626677931998,9.26986711750502,10.1800004017939,9.44988028190246
"ENSG00000004809.14",6.71282895494623,6.92086285036748,6.5685667916329,6.3733228622177,6.81562293483468,6.91793048774413,7.01394655767292,6.79309411211536,6.96967961665487,6.72532205770848,7.9370966388546,6.90867995992914,7.84215545770713,8.05442454211524,6.41082004102881,6.64258533338297,6.15782582037892,6.2211447018917,6.48269406100868,7.62334470501633,6.86203230036978,6.99614579936033,6.42467624246167
"ENSG00000004838.14",6.29230279200971,6.7482068919097,6.58828365582224,6.89650500737143,6.64927082031722,6.35102257173251,6.66511406712527,6.47000371618694,6.47858138871519,6.70352002108661,6.34793176705012,7.08528176695497,6.94217376778634,6.44459592295734,6.61886790042243,6.41435621671814,7.72150780158304,6.45069293358976,6.62180813472434,6.69353052837222,6.29122286332587,6.54658984294174,7.0064049178258
"ENSG00000004846.17",5.91673639024997,6.07208243830895,5.43822996414948,5.43822996414948,5.72382455239927,5.63594549259189,5.91389144027472,5.78866883116986,5.74452751422893,5.99684717399991,6.34793176705012,5.43822996414948,6.26755350293431,5.75450264649775,6.13233833200688,5.59953226372922,5.43822996414948,5.43822996414948,5.67664179228829,6.10125722302994,5.98237126517333,5.43822996414948,5.43822996414948
"ENSG00000004864.14",8.63400612818232,8.44807363258846,8.20482657535974,8.81149781273315,8.5864785267486,8.56780243093987,8.59077037384313,8.93389665607877,8.46254129408316,8.61203405062512,8.59080484076363,8.88526429385221,9.0119975823378,8.21910198280066,8.68510445956431,8.61166865873171,8.6205577631878,8.21730290160824,8.70346957042643,8.24330108455401,8.59879474847096,8.98927863736125,8.07356994925182
"ENSG00000004866.22",7.80693067977127,8.14533351243629,7.17205081319976,7.92142599882163,7.80784020836269,7.7076082649993,7.89359986589665,8.25509487452984,7.85135390873324,8.19095589145633,8.82239324151184,7.60039197628886,8.80409259784724,7.99482344776953,8.01984974578955,7.6143019968278,7.3409055537971,7.83912160385677,8.11970555164863,7.77544952131424,8.07175027999091,8.42727413608143,7.80269448130529
"ENSG00000004897.12",10.8209477459158,10.6249873761241,10.7326953808279,10.9049520076085,11.0616417575925,11.0503767311262,11.2276517074371,11.0468031548858,11.0825161021506,11.2641392014391,12.6068015479457,10.636527999563,11.7280190916326,11.3141822004304,10.9702655440645,10.7462358749719,10.89054926563,11.3578490327868,11.0425215355147,11.3241412998171,10.8394101615007,11.012538510586,10.4935143736793
