"","4","11","12","13","14","19","20","27","28","10H","11H","13H","25H","26H","28_27H","9H"
"ENSG00000005238.20",11.2608181930955,12.0882321166772,12.207518022444,12.1701579594297,12.5229438032865,12.3773935449806,12.0343033815967,12.2979021831399,11.9939873917475,12.0589226816902,11.9687168690294,12.3165377932647,12.7869947362368,11.5384042021185,12.0740091857544,11.2645973111021
"ENSG00000005243.10",5.67589067812934,7.70471219611665,6.74966946534146,6.69370024082108,6.58755699602801,6.66690775224749,6.55650294967863,6.86223146998036,6.57443048284559,6.84387148811253,6.65603633176143,6.88694091344527,6.80366505649396,6.52372239159505,6.47107651367088,7.09198959569415
"ENSG00000005249.13",10.6662148882475,10.2565681910557,11.3575142417555,10.1352501425672,11.798927717067,11.699998539356,11.6004116486506,10.4979402868248,11.1316401152046,10.3658978713774,10.4020211765946,10.1117178797436,12.4142898974521,10.2684938717415,10.4766534934393,9.26335965378268
"ENSG00000005302.19",12.0903851205056,12.2270710280912,11.8607221143373,12.3774844882577,11.9225803886282,12.4125453765446,11.9911116188863,12.2646381487603,11.9527034824788,12.2105781327058,12.1601253826651,12.0565459155476,12.7564850226426,11.9418704313741,12.1259569925478,12.4785321895274
"ENSG00000005339.15",14.3078081910474,14.4187177749194,14.0812819635245,14.4681134402368,14.2331274853586,14.4028716873381,14.0006699372656,14.6145100873998,14.3467375931641,14.242320364452,14.2642133370393,14.4057729879014,14.9217927574452,14.0914676264936,14.2782390969386,13.3589132187951
"ENSG00000005379.17",9.99574118796489,10.3035249946305,11.1975762265093,10.0995042204941,10.1032768783076,9.79689374514604,10.4022642841931,10.6333881326733,10.0122963007993,10.4978167962436,9.40653509852719,10.3518759750521,9.2946352856765,10.7942443589684,10.2642107998346,10.3462573836316
"ENSG00000005381.8",8.06789968998195,7.90858045985329,8.7761696809736,7.9249361001468,8.93087278305883,8.3212569567706,8.30673300984708,7.42021379748073,8.06485455414513,7.94314740127013,9.32433493713967,8.00360083351397,8.87808790249483,8.26865854977335,8.02267246629701,7.34818509213621
"ENSG00000005436.14",8.91700197434917,8.63707404432139,8.46812756628048,8.61828255693121,8.6528320056158,8.52820410761273,8.77080989682404,8.52490367705215,8.8352049960939,8.86338022851857,8.4580764361583,8.16393941230116,7.9530301286978,8.58451324818117,8.57786158904853,9.15061047189167
"ENSG00000005448.17",8.37163660766137,8.14110108483822,8.54503702231458,8.15157906685774,8.11215642270597,8.19501670170656,8.31690694763048,8.40641188998187,8.32731410801548,8.68629226604867,8.29186675968509,7.97127551633345,7.65508209502713,9.14336358842196,8.47524751663484,8.68385523505451
"ENSG00000005469.12",8.82174469623857,8.18313653652362,8.64044934675779,8.41283568240014,8.11621883421497,8.24314528351,8.34035654484304,8.82319433662376,8.34660895018816,8.37237950246716,8.79149706237538,8.25527426756525,8.61227006808339,8.68102710523357,7.88104343951203,8.76797009560379
"ENSG00000005471.19",7.82874214152886,7.35415183962483,7.60959153795837,7.29079330891708,7.68931389963975,8.08270179362776,8.28960662166375,7.93621456653102,8.49931540373151,7.46851941092398,6.58572915774877,7.53483957972261,7.07581208853088,8.53137268198386,7.67700183924936,7.29171124133005
"ENSG00000005483.22",13.5113016445389,13.2518917254881,12.997774765661,13.2035568813268,13.0747229082206,13.1999728194706,13.1922377956787,13.319145264336,13.12299857757,13.1588694500169,13.260204295748,13.2439403498453,13.3346548467784,13.0216310168677,13.1782443747409,12.8367906880627
"ENSG00000005486.17",10.0202334024324,10.5581157392097,10.167354962698,10.218037556826,10.3393503986706,10.5512406291549,10.140578410811,10.1168625835393,10.3363836287936,10.2177870797584,10.425514487835,10.3817239733683,10.7031832189219,10.2429889811098,10.5980824554362,10.0762511509908
"ENSG00000005513.10",7.4201122991438,7.47222092807641,7.31850942647452,7.30051951574265,6.85629942537513,7.28464167173484,7.30853709010049,7.39170620909726,7.67153193708423,7.31209014727891,7.85961974660369,7.39725687645963,6.80366505649396,7.19882813780635,7.73111396163368,7.59655162086631
"ENSG00000005700.15",10.1718176026823,10.1737659765049,10.5265966164652,10.353917373731,10.2338640679335,10.2136390254027,10.4184854552671,10.1751673564858,10.2229672155961,10.2862623299934,10.2496136494533,10.3876199627128,10.2833893504031,10.5546979959598,10.3025703303807,10.4387756257958
"ENSG00000005801.18",10.0039517755359,10.3101096597492,10.3005288894468,9.93435036894771,9.69329346444214,10.0257002776996,10.0767449910928,10.039441348956,9.7101421594782,10.0891044255822,9.97558730496595,9.97599532461108,9.48689666666056,10.1933866548393,9.70009970187667,10.5726077230538
